name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,purpose,performance_score
EVGA Z370 Micro ATX,360.92,LGA1151,micro atx,32,2,Black / Silver,DDR4,General,5.55
Biostar H310MHD PRO,145.83,LGA1151,micro atx,32,2,Black,DDR4,General,5.55
Asus ROG RAMPAGE VI EXTREME OMEGA,1004.49,LGA2066,eatx,128,8,Black,DDR4,Design,14.84
Biostar B365MHC,140.96,LGA1151,micro atx,32,2,Black / Yellow,DDR4,General,5.55
Gigabyte B460M D2V,132.87,LGA1200,micro atx,64,2,Black / Silver,DDR4,Office,8.0
ASRock Z490 Phantom Gaming 4/ac,230.86,LGA1200,atx,128,4,Black / Gray,DDR4,Gaming,12.52
Biostar B550GTA,287.48,AM4,atx,128,4,Black,DDR4,Design,12.13
ASRock E3C246D4U2-2L2T,430.43,LGA1151,micro atx,128,4,Green,DDR4,Office,11.35
Gigabyte Z690 GAMING X DDR4 V2,259.58,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus PRIME-H510M-F,132.87,LGA1200,micro atx,64,2,Black / Silver,DDR4,Office,8.0
Biostar B760A-SILVER,243.44,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus PRIME B760M-K D4-CSM,127.33,LGA1700,micro atx,64,2,Silver / Black,DDR4,Office,8.39
ASRock E3C246D4U,430.43,LGA1151,micro atx,128,4,Green,DDR4,Office,11.35
ASRock B460 Steel Legend,285.27,LGA1200,atx,128,4,Black / Silver,DDR4,Gaming,12.52
Biostar B660MX-E PRO,178.28,LGA1700,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus TUF GAMING B760M-E D4,183.73,LGA1700,micro atx,128,4,Black / Orange,DDR5,Gaming,12.9
Gigabyte GA-P55A-UD4P,328.84,LGA1156,atx,16,4,Blue / White,DDR3,General,5.68
Asus M4A89GTD PRO/USB3,293.52,AM3,atx,16,4,Black / Blue,DDR3,General,5.29
MSI P43-C51,286.16,LGA775,atx,16,4,Black / Blue,DDR3,General,4.9
Intel DH67CF,229.09,LGA1155,mini itx,16,2,Blue,DDR3,General,4.13
Intel DH67CL,293.52,LGA1155,atx,32,4,Black / Blue,DDR3,General,6.71
Asus P5Q-EM DO,214.34,LGA775,micro atx,16,4,Black / Yellow,DDR3,General,4.9
Gigabyte GA-990XA-UD3,328.84,AM3+,atx,32,4,Blue / White,DDR3,General,7.1
ASRock Fatal1ty 990FX Professional,314.91,AM3+,atx,64,4,Black / Red,DDR3,General,8.39
ASRock X79 Extreme6,584.22,LGA2011,atx,64,8,Black / Silver,DDR3,General,12.26
Asus P8H77-V LE,293.52,LGA1155,atx,32,4,Black / Blue,DDR3,General,6.71
MSI Z77A-GD55,293.52,LGA1155,atx,32,4,Black / Blue,DDR3,General,6.71
ASRock B75 Pro3,299.89,LGA1155,atx,32,4,Brown / Black,DDR3,General,6.71
ASRock N68C-GS FX,272.37,AM3+,micro atx,8,4,Black / Blue,DDR3,General,6.13
Gigabyte GA-Z87X-UD5H,335.15,LGA1150,atx,32,4,Black / Gray,DDR3,General,7.1
ASRock H87 Pro4,299.89,LGA1150,atx,32,4,Brown / Black,DDR3,General,7.1
Gigabyte GA-H87N-WIFI,308.72,LGA1150,mini itx,16,2,Black / Silver,DDR3,General,4.52
Asus Z87I-Deluxe,242.29,LGA1150,mini itx,16,2,Unknown,DDR3,General,4.52
ASRock H81M,171.08,LGA1150,micro atx,16,2,Black,DDR3,General,4.52
ASRock FM2A88X-ITX+,187.96,FM2+,mini itx,32,2,Black / Gray,DDR3,General,5.16
Gigabyte GA-F2A88XM-DS2,140.66,FM2+,micro atx,64,2,Black / Silver,DDR3,Office,6.45
Asus AM1M-A,158.17,AM1,micro atx,32,2,Black / Gold,DDR3,General,5.16
ASRock Z97E-ITX/ac,214.6,LGA1150,mini itx,16,2,Black / Blue,DDR3,General,4.52
MSI Z97M-G43,265.45,LGA1150,micro atx,32,4,Black / Blue,DDR3,General,7.1
Asus B85M-G R2.0,171.33,LGA1150,micro atx,32,4,Black / Gold,DDR3,General,7.1
ASRock Z97M Anniversary,265.45,LGA1150,micro atx,32,4,Black / Blue,DDR3,General,7.1
ASRock X99M Extreme4,207.86,LGA2011-3,micro atx,64,4,Black / Blue,DDR3,Office,8.39
ASRock B150M-HDV,138.82,LGA1151,micro atx,32,2,Black / Orange,DDR4,General,5.55
Gigabyte GA-Z170X-UD5 TH,404.94,LGA1151,atx,64,4,Black / Gold,DDR4,General,8.77
Gigabyte GA-H170M-DS3H,460.28,LGA1151,micro atx,64,4,Black,DDR4,Office,8.77
Asus H110M-A D3,136.78,LGA1151,micro atx,32,2,Black / Gold,DDR4,General,5.55
Gigabyte GA-X99P-SLI,602.05,LGA2011-3,atx,128,8,Black / Orange,DDR3,Design,14.84
ASRock EP2C612 WS,706.89,2 X LGA2011-3,ssi eeb,256,8,Black / Blue,DDR4,General,20.0
MSI H170I Pro AC,585.32,LGA1151,mini itx,32,2,Black / White,DDR4,General,5.55
ASRock Fatal1ty Z170 Professional Gaming i7,1760.93,LGA1151,atx,64,4,Black / Red,DDR4,General,8.77
Asus B150I PRO GAMING/WIFI/AURA,1680.36,LGA1151,mini itx,32,2,Black / Red,DDR4,General,5.55
ASRock D1520D4I,256.55,INTEGRATED XEON D-1520,mini itx,128,4,Black / Green,DDR4,Office,10.97
MSI Z170A SLI,401.25,LGA1151,atx,64,4,Black / Gray,DDR4,General,8.77
ASRock Fatal1ty Z170 Gaming K6,1760.93,LGA1151,atx,64,4,Black / Red,DDR4,General,8.77
ASRock Fatal1ty Z270 Gaming K4,1760.93,LGA1151,atx,64,4,Black / Red,DDR4,General,8.77
MSI B250 KRAIT GAMING,1158.3,LGA1151,atx,64,4,Black / White,DDR4,General,8.77
MSI X299 GAMING PRO CARBON AC,525.83,LGA2066,atx,128,8,Black / Silver,DDR4,Design,14.84
Gigabyte B360M GAMING HD,138.82,LGA1151,micro atx,32,2,Silver / Red,DDR4,General,5.55
MSI B360 GAMING PRO CARBON,532.42,LGA1151,atx,64,4,Black,DDR4,General,8.77
ASRock Z390 Phantom Gaming 9,354.8,LGA1151,atx,128,4,Black / Silver,DDR4,Design,11.35
Gigabyte H410M SH2 V2,132.87,LGA1200,micro atx,64,2,Black / Silver,DDR4,Office,8.0
Asus PRIME H410I-PLUS/CSM,205.72,LGA1200,mini itx,64,2,Black,DDR4,Office,8.0
Asus PRIME A620M-A,143.48,AM5,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
ASRock H310CM-HG4,360.92,LGA1151,micro atx,32,2,Black / Silver,DDR4,General,5.55
MSI PRO H610M-G,109.19,LGA1700,micro atx,64,2,Black,DDR4,Office,8.39
Gigabyte Z690 UD DDR4 V2,259.58,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus Pro WS C246-ACE,499.85,LGA1151,atx,128,4,Black,DDR4,Design,11.35
Supermicro C9Z390-CG-IW,595.0,LGA1151,mini itx,64,2,Black,DDR4,Office,6.84
Asus ROG MAXIMUS X APEX,545.41,LGA1151,eatx,32,2,Black / Silver,DDR4,General,5.55
Intel DP55WB,264.69,LGA1156,micro atx,16,4,Black / Blue,DDR3,General,5.68
Asus M4A87TD/USB3,293.52,AM3,atx,16,4,Black / Blue,DDR3,General,5.29
Gigabyte GA-MA770T-UD3,371.51,AM3,atx,16,4,Unknown,DDR3,General,5.29
