name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,socket,purpose,performance_score
AMD Threadripper 2950X,1075.0,16,3.5,4.4,180,None,True,sTR4,Design,26.39128263775913
Intel Core i9-11900F,312.5,8,2.5,5.2,65,None,True,LGA1200,Gaming,42.201166180758015
Intel Core i3-4130,77.14,2,3.4,0.0,54,Intel HD Graphics 4400,True,LGA1700,General,17.667638483965014
Intel Pentium Gold G5400,64.95,2,3.7,0.0,58,Intel UHD Graphics 610,True,LGA1200,General,17.20363690270297
Intel Pentium G4400,42.99,2,3.3,0.0,54,Intel HD Graphics 510,False,LGA1200,General,15.822952557646435
Intel Core i7-6950X,328.29,10,3.0,3.5,140,None,True,LGA1151,General,22.517213572359033
Intel Core i7-4930K,175.0,6,3.4,3.9,130,None,True,LGA1151,General,17.626243518126987
Intel Core i3-8350K,217.3,4,4.0,0.0,91,Intel UHD Graphics 630,False,LGA1151,General,15.211053365445554
Intel Core i7-7800X,405.86,6,3.5,4.0,140,None,True,LGA1151,General,16.54674027665778
Intel Pentium Gold G6405,72.98,2,4.1,0.0,58,Intel UHD Graphics 610,True,LGA1200,General,18.18204279290408
AMD FX-8300,100.0,8,3.3,0.0,95,None,False,AM3,General,22.731413994169092
Intel Core i5-4670,135.86,4,3.4,0.0,84,Intel HD Graphics 4600,False,LGA1151,General,15.537643628880122
AMD A6-7400K,105.0,2,3.5,3.9,65,Radeon R5 (on die),False,FM2+,General,18.751656506758547
Intel Core i3-2120,128.12,2,3.3,0.0,65,Intel HD Graphics 2000,True,LGA1700,General,14.504373177842565
AMD FX-9370,109.0,8,4.4,4.7,220,None,False,AM3+,Gaming,12.387372531430154
Intel Core i7-7820X,329.88,8,3.6,4.5,140,None,True,LGA1151,Gaming,20.40196017616773
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,True,LGA1151,Office,48.505830903790084
Intel Xeon E-2176G,1070.23,6,3.7,4.7,80,Intel HD Graphics P630,True,LGA2011,Gaming,29.99136162401469
AMD A4-6300,46.79,2,3.7,3.9,65,Radeon HD 8370D,False,FM2,General,19.149218128809967
AMD Threadripper 2970WX,1156.0,24,3.0,4.2,250,None,True,sTR4,Design,26.333151359576274
Intel Xeon E5-2680 V4,1990.0,14,2.4,3.3,120,None,True,LGA2011,General,33.31566392790882
Intel Core i5-6402P,104.99,4,2.8,3.4,65,Intel HD Graphics 510,False,LGA1151,General,23.323615160349856
Intel Core 2 Quad Q9550,52.55,4,2.83,0.0,95,None,False,LGA1151,General,12.978316326530612
Intel Core i5-11600,240.0,6,2.8,4.8,65,Intel UHD Graphics 750,True,LGA1200,Gaming,34.98542274052478
Intel Core i7-920,99.0,4,2.66,0.0,130,None,True,LGA1151,General,10.274631117441524
Intel Xeon E5-2690 V4,424.48,14,2.6,3.5,135,None,True,LGA2011,General,29.9948550848911
AMD FX-8370,241.98,8,4.0,4.3,125,None,False,AM3,Design,21.032902957101207
Intel Core i9-7980XE,1193.0,18,2.6,4.4,165,None,True,LGA1151,Design,30.89149601320734
AMD Athlon 220GE,104.39,2,3.4,0.0,35,Radeon Vega 3,True,AM4,General,26.992225461613216
AMD Ryzen 3 1200 (12nm),129.74,4,3.1,3.4,65,None,False,AM4,General,23.91995759342698
Intel Celeron G4900T,59.95,2,1.8,0.0,35,Intel UHD Graphics 610,False,LGA1200,General,18.707482993197278
AMD Phenom II X4 965 Black,90.0,4,3.4,0.0,125,None,False,AM3,General,10.481743717895322
Intel Pentium Gold G6605,69.99,2,4.3,0.0,58,Intel UHD Graphics 630,True,LGA1200,General,18.671245738004643
Intel Pentium G640,45.0,2,2.8,0.0,65,Intel HD Graphics,False,LGA1200,General,12.19188974291015
Intel Core i5-4430,123.85,4,3.0,0.0,84,Intel HD Graphics 4600,False,LGA1155,General,14.920253815812037
AMD Threadripper 2920X,950.0,12,3.5,4.3,180,None,True,sTR4,Design,21.02266320892998
Intel Core i7-3930K,298.98,6,3.2,0.0,130,None,True,LGA1151,General,14.541650902454764
AMD FX-6120,58.53,6,3.5,4.1,95,None,False,AM3,General,22.184766763848394
Intel Xeon E5-2680,80.0,8,2.7,3.5,130,None,True,LGA2011,General,20.233458705183274
AMD FX-6350,100.0,6,3.9,0.0,125,None,False,AM3,General,14.473136193252811
Intel Core i9-10940X,850.0,14,3.3,4.8,165,None,True,LGA1200,Gaming,25.936105939794164
Intel Xeon E5-2620 V3,55.29,6,2.4,3.2,85,None,True,LGA2011,General,24.38809410807512
AMD A10-9700,120.0,4,3.5,3.8,65,Radeon R7 (on-die),False,AM4,Office,25.245163000265038
Intel Celeron G3900,49.99,2,2.8,0.0,51,Intel HD Graphics 510,False,LGA1200,General,15.474321596770574
AMD A8-6600K,92.86,4,3.9,0.0,100,Radeon HD 8570D,False,FM2,General,13.725716594983112
Intel Xeon E5-2630,36.65,6,2.3,0.0,95,None,True,LGA2011,General,18.49034256559767
Intel Core i7-860,270.0,4,2.8,0.0,95,None,True,LGA1151,General,14.231049562682216
