name,price,price_per_gb,color,first_word_latency,cas_latency,speed_mhz,ddr_type,total_capacity,purpose,performance_score
Kingston KTH-PL426S8/8G 8 GB,34.6,4.325,Green / Black,14.254,19.0,2666,DDR4,8,General,9.866317463872663
Crucial CT32G4LFD424A 32 GB,109.95,3.436,Green / Black,14.167,17.0,2400,DDR4,32,General,17.708123235119388
Crucial CT16G4VFS4266 16 GB,89.99,5.624,Green / Black,14.254,19.0,2666,DDR4,16,General,12.696137916643936
Crucial CT32G4LFD4266 32 GB,129.97,4.062,Green / Black,14.254,19.0,2666,DDR4,32,General,18.35577882218648
Crucial CT16G4RFD8293 16 GB,72.98,4.561,Green / Black,14.32,21.0,2933,DDR4,16,General,13.34895148529871
Crucial CT16G4RFS4293 16 GB,274.98,17.186,Green / Black,14.32,21.0,2933,DDR4,16,General,13.34895148529871
Kingston KTH-PL426/32G 32 GB,91.4,2.856,Green / Black,14.254,19.0,2666,DDR4,32,General,18.35577882218648
Crucial CT51264BA1339 4 GB,19.82,4.955,Black / Green,13.503,9.0,1333,DDR3,4,General,5.2495431227155755
ADATA Supreme 4 GB,59.98,14.995,Green,13.503,9.0,1333,DDR3,4,General,5.2495431227155755
Corsair VS2GSDS667D2 2 GB,49.99,24.995,Green,14.993,5.0,667,DDR2,2,General,2.92441736781712
Corsair CMSO8GX3M2A1333C9 8 GB,54.99,6.874,Green,13.503,9.0,1333,DDR3,8,General,6.664453349101212
Crucial CT2KIT25664AC800 4 GB,28.99,7.247,Green,15.0,6.0,800,DDR2,4,General,3.94173980239554
G.Skill F2-5300CL5S-2GBSQ 2 GB,27.99,13.995,Green,14.993,5.0,667,DDR2,2,General,2.92441736781712
Kingston KVR667D2S5/2G 2 GB,45.49,22.745,Green,14.993,5.0,667,DDR2,2,General,2.92441736781712
Kingston KHX5300S2LLK2/2G 2 GB,44.99,22.495,Blue / Silver,11.994,4.0,667,DDR2,2,General,3.0512994090876933
Mushkin Essentials 2 GB,17.34,8.67,Green,12.5,5.0,800,DDR2,2,General,3.3316249504774103
Mushkin 996647 8 GB,23.55,2.944,Green,13.503,9.0,1333,DDR3,8,General,6.664453349101212
Crucial CT25664BF1339 2 GB,14.99,7.495,Green,13.503,9.0,1333,DDR3,2,General,4.542088009522757
AMD AE34G1609U1 4 GB,40.13,10.033,Unknown,11.25,9.0,1600,DDR3,4,General,5.972215844443425
