name,price,chipset,memory,core_clock,boost_clock,color,length,purpose,performance_score
PowerColor RX7900XTX 24G,1109.99,Radeon RX 7900 XTX,24.0,2300.0,2500.0,Black,287.0,High-End Gaming,82.3045267489712
PNY XLR8 Gaming REVEL EPIC-X RGB,378.99,GeForce RTX 3060 12GB,12.0,1320.0,1320.0,Black,170.0,Mid-Range Gaming,42.592592592592595
MSI Radeon RX 6800 XT Gaming X Trio 16G,1210.95,Radeon RX 6800 XT,16.0,1850.0,2285.0,Silver / Black,324.0,Workstation,67.5925925925926
MSI VENTUS 3X PLUS OC,1099.99,GeForce RTX 3080 12GB LHR,12.0,1260.0,1740.0,Black / Gray,305.0,Mid-Range Gaming,51.23456790123456
PowerColor Red Devil Limited Edition,1239.0,Radeon RX 7900 XTX,24.0,2300.0,2565.0,Black,338.0,High-End Gaming,83.64197530864197
Gigabyte OC Low Profile,226.13,GeForce GTX 1650 G5,4.0,1485.0,1695.0,Black,167.0,Budget Gaming,40.02057613168724
Asus TUF-RX6800XT-O16G-GAMING,1099.0,Radeon RX 6800 XT,16.0,1825.0,2340.0,Black,320.0,Workstation,68.72427983539094
Zotac GAMING OC Spider-Man: Across The Spider-Verse,299.99,GeForce RTX 4060,8.0,1830.0,2475.0,Black,222.0,Budget Gaming,61.21399176954733
EVGA FTW3 ULTRA GAMING LHR,1109.99,GeForce RTX 3080 10GB LHR,10.0,1440.0,1800.0,Black,300.0,Mid-Range Gaming,49.89711934156379
Acer BiFrost,379.99,Arc A770,16.0,2200.0,2400.0,Black,267.0,Workstation,69.9588477366255
Diamond 5450PE31G,49.99,Radeon HD 5450,1.0,650.0,650.0,Red / Silver,152.0,Budget Gaming,14.660493827160495
Zotac GAMING AMP,669.0,GeForce RTX 3060 Ti LHR,8.0,1410.0,1755.0,White,232.0,Mid-Range Gaming,46.3991769547325
AMD ‎100-438373,1499.99,Radeon RX 6900 XT,16.0,1825.0,2250.0,Black / Silver,267.0,Workstation,66.8724279835391
MSI GeForce RTX 3080 GAMING X TRIO 10G,1199.99,GeForce RTX 3080 10GB,10.0,1440.0,1440.0,Black,323.0,Mid-Range Gaming,42.489711934156375
MSI VENTUS 2X,394.57,GeForce RTX 3050 8GB,8.0,1550.0,1550.0,Black,235.0,Mid-Range Gaming,42.181069958847736
Zotac GAMING AMP Holo,712.22,GeForce RTX 3070 Ti,8.0,1575.0,1830.0,Black / Silver,317.0,Mid-Range Gaming,47.94238683127571
Gigabyte D6 OC Rev 2.0,212.81,GeForce GTX 1650 G6,4.0,1410.0,1635.0,Black / Silver,172.0,Budget Gaming,38.78600823045268
GALAX SG (1-Click OC),1148.99,GeForce RTX 4080,16.0,2205.0,2580.0,Black,352.0,High-End Gaming,73.66255144032921
MSI GT 710 2GD3H LP,105.9,GeForce GT 710,2.0,954.0,954.0,Black,146.0,Budget Gaming,22.201646090534975
Asus ROG STRIX OC,339.99,Radeon RX 7600,8.0,1720.0,2755.0,Black / Silver,281.0,Mid-Range Gaming,66.97530864197532
MSI Radeon RX 5600 XT GAMING MX,499.99,Radeon RX 5600 XT,6.0,1280.0,1620.0,Black / Silver,297.0,Mid-Range Gaming,41.04938271604939
Gigabyte GV-N1030SL-2GL,111.0,GeForce GT 1030,2.0,1252.0,1506.0,White,175.0,Budget Gaming,33.55967078189301
AMD 100-506157,1539.49,Radeon PRO W6800,32.0,2075.0,2320.0,Blue / Gray,267.0,Workstation,88.8888888888889
MSI GeForce GTX 1630 AERO ITX 4G OC,139.99,GeForce GTX 1630,4.0,1740.0,1740.0,Black,170.0,Budget Gaming,40.946502057613166
Asus GTX750TI-OC-2GD5,399.49,GeForce GTX 750 Ti,2.0,1072.0,1150.0,Black / Red,217.0,Mid-Range Gaming,26.234567901234566
EVGA FTW3 ULTRA GAMING iCX3,719.99,GeForce RTX 3070 LHR,8.0,1500.0,1815.0,Black,300.0,Mid-Range Gaming,47.63374485596707
ASRock Challenger ITX,149.99,Radeon RX 6400,4.0,1923.0,1923.0,Black / Silver,162.0,Budget Gaming,44.711934156378604
PowerColor Red Dragon,79.98,Radeon RX 550 - 512,2.0,1100.0,1017.0,Black,181.0,Budget Gaming,23.497942386831276
EVGA FTW GAMING ACX 3.0,926.99,GeForce GTX 1070,8.0,1607.0,1797.0,Black / Gray,267.0,Mid-Range Gaming,47.26337448559671
MSI Radeon RX 6800 GAMING X TRIO 16G,734.02,Radeon RX 6800,16.0,1700.0,2155.0,Black / Silver,324.0,Workstation,64.91769547325103
MSI GT 1030 2GD4 LP OC,92.99,GeForce GT 1030 DDR4,2.0,1189.0,1430.0,Black,150.0,Budget Gaming,31.995884773662553
