name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
SteelSeries 68095,44.87,Gaming,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Rosewill NEON K42,32.79,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Ducky One 2 RGB,132.85,Standard,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Inland 70119,22.99,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
Redragon K585 DITI,36.99,Gaming,Outemu Blue,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Zalman ZM-K400G,23.36,Gaming,None,Multicolor,False,Wired,Black,Mid-Range Gaming,59.0
Qisan CCDY003COOT6,69.98,Mini,Cherry MX Brown,White,True,Wired,Silver,Compact,79.0
Logitech MK120-TAA,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Patriot Viper V765,79.98,Gaming,Kailh BOX White,RGB,False,Wired,Silver / Black,Mid-Range Gaming,80.0
Keychron K1 SE,111.6,Standard,Keychron Optical Brown Low Profile,RGB,True,"Wired, Bluetooth Wireless",Black / Gray,Compact,80.0
Logitech K800,87.19,Slim,None,White,False,Wireless,Black,Mid-Range Gaming,71.0
Corsair K95 RGB,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Razer BlackWidow Ultimate 2016,200.23,Standard,Razer Green,Green,False,Wired,Black,Mid-Range Gaming,79.0
Alienware AW768,77.44,Gaming,Kailh Brown,RGB,False,Wired,Silver,Mid-Range Gaming,80.0
HAVIT HV-KB390L,74.76,Gaming,Kailh Blue,Blue,True,Wired,Black,Compact,71.0
Microsoft LXM-00001,44.99,Ergonomic,None,None,False,Wired,Black,Office/Budget,38.0
Rosewill NEON K75 V2 BR,51.87,Gaming,Kailh Brown,RGB,False,Wired,Black,Mid-Range Gaming,80.0
Microsoft Desktop 850,39.95,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
Kensington 64370,20.88,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Das Keyboard 4 Ultimate,169.0,Standard,Cherry MX Brown,None,False,Wired,Black,Mid-Range Gaming,58.0
Razer Huntsman Gears of War 5 Edition,298.0,Gaming,Razer Purple Optical Clicky,RGB,False,Wired,Gray / Black,Premium Gaming,88.0
Adesso Multimedia Desktop Keyboard,14.95,Standard,None,None,False,Wired,Black,Office/Budget,38.0
